Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
2R4vNoq2QWYZt2AzEQH8RtY1fMQTbU4uP5nzqyqpsAVW77Ra9Sw762Q52J5W7MqqVeyPtqKkEho5X6vhDquEf1My,1743714221,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,AD4Ao24wPYKXKQ6pR3TsGTse9yu1DD59SMh4GKNaWUoB,70750100000,out,8235.31,9,SOL
2yPf8Rvaq3oqyKbJxiarUJ2wxhDk4wJEre3qDGFEhikyioX18itDZodNC3hcxiNfmhoCMghsBTrqqCArNWMXZ6rZ,1743712069,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2HFMwv9nXjDtgQFuNFtJM3LVE2Xuu2GQWSek4qF2Yq6X,90934300000,out,10505.64,9,SOL
2T5hnDBQsBetZgpUDT2Fm5TEB3KWLk4BCwJwmWtWohaNtArr2rBFJW57TFXW7rxpqM3rawbe76GUYprSYehVAWcd,1743699452,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,BP5amhgjarVpxJea9AqxX1UsXjqEwS9qn3R3hvcy2cpF,61330000000,out,6987.33,9,SOL
2yx5wEcK7AqtH9Mm5fbbtbi9XS6JBiVEthX3Kaqc7joxqQNqNjpZxMgBuGUrVgRYEwAhcEHvuTSAXH7zdjG8hJA7,1743699217,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,9KcSdT6qLa279Jq14DegNzxZxpeVW9dJqtCH6nUh7B4j,62160000000,out,7081.89,9,SOL
38asScs3n9KdPfuHdyPh56rERprAfZoWH5FjjQiL1sy7naraNuFWKvJMkuN2vUwyUbsZ64N9hcjKb1P5vXgShwn7,1743697820,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,F2vTu9JyqVkkHNbUfCWXjHr1WDTebZcSEA18SUYkwNrH,95982000000,out,10992.82,9,SOL
exWv9GB42KZaB7A1dWqox3X8u8wKsRryCC5N9XnJ5RwV25mKt7UNctYLXnaRczTuuafWfzwvFfsaZEdaKfUPCjY,1743696210,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,BP5amhgjarVpxJea9AqxX1UsXjqEwS9qn3R3hvcy2cpF,60300000000,out,6892.29,9,SOL
epcp8iDLCAmJSUcn25QardAipV7okohybwPCdQrbUmNsnBoxc72JvwqKTKXVK2ATLSGbzfSYyF6jcAMF5ExnREU,1743694428,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Fm6QizvHCkYHpMqQo69CLV2WzHWF7zsWhCyRMUhdqUhb,86520408510,out,9846.89,9,SOL
BD5mcBghjjUL7Gypok57aL5vxnHnKFDhqjikZDcdf1f96sVb7J4c2R5zVcdPBbN8KDGAHL1VqZqbxddSQLKVFBp,1743693098,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,7p9P9wybzkzUg5KGBEeoXTgH4XTxyqZjMbRpKQfFjwAz,96397736540,out,10884.27,9,SOL
3bgFB8uRXaaJka3VXA2FSnz3c1UGp765td2k2Cepgodp6sdTrySjbx4bCDiGfy1uR1RfrS7apqvACJ7JMZh73ZgA,1743686012,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,AGZU8QYHGYxw6PnScU3WPLPYvZs7pA3YeKR1Wd2ubiNZ,62473300000,out,7076.35,9,SOL
1YdUtHZGu23WHbY43TdfZBrvYw6PvYxgHWbSAHjBY4wAAVP7Tv8evYv7j8hKENDQhuPBtNqC1fSgUHqUyQi5kE2,1743685068,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,GR9PPdZnvnksnoFEjAE8SkNz9dZanPSYeoL3KXEWdpWq,76429141120,out,8667.83,9,SOL
