2025-02-21T00:36:46.282Z - Signature: 4GrtrHH6dTuBZh9NJhFzUQXu4dQzBjaNghUF6bJHwyegQqynSrriekx1J44dXkNrJYVSyVBJwWmE7Nfjj8qiDeoy, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:47.122Z - Signature: 2RByagmBQYJW726fzM13bG8T74qPTVZSRoPQnwjMNwgX6G8z9jLMBwk9dQQXYXLDG4bVGghqs43EB34KKgqyvayk, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:47.714Z - Signature: yejSAAYCk7L5D8wT4FUReMSYiwcw1S722FTFbRscRUZnC8oeFmZpY8a4vpBGkaKrDVqFCYYwjzq8ULN2nfsa1Uh, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:48.679Z - Signature: 3osH2ufHDKfFXH8qKDb3nPCxogbV3CcLGhjGsJbeX4Ebx7xaumrzF8ErGRSVK8m8hJSX1QPEyPE672RvZXMTqqr9, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:49.345Z - Signature: 5TVb2GdAbC9W66K4T2PJrRt4Y9j2rfv6uNnynTTwphmRDd3SdEQdkctaafwEePV8BBruYjC7vHxh8qDfjw9bMVnc, Amount In: process_swap_base_in_with_user_account, Amount Out: process_swap_base_in_with_user_account
2025-02-21T00:36:51.606Z - Signature: z2nkNruLsKWRk5qq7geBpY5b2uYwLL79P29EHUUbokL78zTWtARa7hZvFeDEsTDrYgZ3rg3Tpw9N5KTfG31Lzqi, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:52.473Z - Signature: 2N8AEBEdrLsn88pkopbpoAbtUYiMQCnztP52guZPM8iP7H2CLejfyyLvvVTvUCm7xx4YRaLjCqoUFcnjtAS9CWsF, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:52.611Z - Signature: 4KoETD1ax1o22C659Y2JGTxnqSMuM2AKuSLNvvr9VxxMhABjta1UsibEvfvnKPhTtSxeHwGMquEXMnEUVRSggrNy, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:52.900Z - Signature: e7e7msRwuNxxKcYXv5dfDJWwPgQFPUqcYvFkCTJuBDcUkKh6zzMV62t8TkJCxY9dchGU535BjASE5RoZdkowzNM, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:52.996Z - Signature: 65vHYo5Sj8wCtAZntmZHtx4pZn7CK8eSnvAVB1NiWFwibYDfAcKyy71DjiYV6MhfejU5KyLEfgyzCr5wMLd6Dyte, Amount In: before_source_balance, Amount Out: before_source_balance
2025-02-21T00:36:53.436Z - Signature: 54kdrWYfwbbcSydE8Sq8vGSSgW3G2EmYyFpD7Ss5usfeJvj7Hfx9xwABUyHBh6DeoiFYDZUabdvphypSNHPjKWB7, Amount In: before_source_balance, Amount Out: before_source_balance
