Signature,Timestamp,Swap Info

4a3MWmX3nW7ukn7zVNMXNikHYRCwSAJDhNjRwX6XozpxVyha6AuG2dJ7p9fo3phRjhdAfzrezMMBPaSNmAVVRj4m,2025-02-25T15:19:27.000Z,"{""log_type"":3,""amount_in"":15000000,""minimum_out"":237750958152454940,""direction"":1,""user_source"":15000000,""pool_coin"":5095291223693792000,""pool_pc"":301734840,""out_amount"":240729192529745800,""adjustedAmountIn"":0.015,""adjustedAmountOut"":240729192529.7458,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""J4iAQ6Yf5WN1PE6jJMhj8UMNXcLVGt33TfaPwqy97wvL"",""timestamp"":""2025-02-25T15:19:27.000Z""}"
tRbUZQKVMasWvE7wPdtKEvaVT5SepcGNLRewLCxfQ5jmNo5nTbWnAH5cA3udwcYrKwWXpDRzV8GnatnYt9vQpFJ,2025-02-25T15:19:26.000Z,"{""log_type"":3,""amount_in"":434189180235489660,""minimum_out"":16592724,""direction"":2,""user_source"":434189180235489660,""pool_coin"":4662787045079032000,""pool_pc"":329652239,""out_amount"":28017399,""adjustedAmountIn"":434189180235.4897,""adjustedAmountOut"":0.028017399,""inToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""outToken"":""So11111111111111111111111111111111111111112"",""inTokenDecimals"":6,""outTokenDecimals"":9,""signerAccount"":""HvGumDWhTEhGsMY4AHyiVLhJ8vpYZmQ7e32e7UZ4wzcn"",""timestamp"":""2025-02-25T15:19:26.000Z""}"
4UPvE9bfJ3nZiAigFXs2RVeLv5KCWW1WAFwbshTCmQ8NG1kL4VPpxSUGnPstex9279dDJjv1VXgbMTEt2Vcn6yAZ,2025-02-25T15:10:33.000Z,"{""log_type"":3,""amount_in"":27081112518,""minimum_out"":1,""direction"":2,""user_source"":27313275359,""pool_coin"":4662787017997919000,""pool_pc"":329652240,""out_amount"":1,""adjustedAmountIn"":27081.112518,""adjustedAmountOut"":1e-9,""inToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""outToken"":""So11111111111111111111111111111111111111112"",""inTokenDecimals"":6,""outTokenDecimals"":9,""signerAccount"":""389Wim1PS2xF89WdSBkkapudSWx4Gb7m7h385tT8D5aM"",""timestamp"":""2025-02-25T15:10:33.000Z""}"
3S3coK2PWWa3yeX6vwwEy3sMaqB5xsbNBEdgU6J6XxNnVCbQsxVuD8MrjZnUbGUvXsYrVGSBjCAxjhGTXWXfqBtt,2025-02-25T14:58:20.000Z,"{""log_type"":3,""amount_in"":16000000,""minimum_out"":0,""direction"":1,""user_source"":16000000,""pool_coin"":4900050047929562000,""pool_pc"":313652240,""out_amount"":237263029931642720,""adjustedAmountIn"":0.016,""adjustedAmountOut"":237263029931.64273,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""BABx2oxXKsXWJtuZVYGGtZTSJ57kDCwTqxo4yXTJokki"",""timestamp"":""2025-02-25T14:58:20.000Z""}"
2jaUxX8NwoSQr25jQi4GsFvnUjPZ7ze6rkaMarZQAMCsRkfBoYmVcdiRtJenRy9uCynnRNQ9W8F1u7c8UjQEbxpn,2025-02-25T14:49:55.000Z,"{""log_type"":3,""amount_in"":30000000,""minimum_out"":257942566328997500,""direction"":1,""user_source"":30000000,""pool_coin"":4942993445435715000,""pool_pc"":310753869,""out_amount"":434189180235489660,""adjustedAmountIn"":0.03,""adjustedAmountOut"":434189180235.4897,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""HvGumDWhTEhGsMY4AHyiVLhJ8vpYZmQ7e32e7UZ4wzcn"",""timestamp"":""2025-02-25T14:49:55.000Z""}"
2MddwcmCiGiXNWf1mLEdRE8rSAsK21M2ormaQqY5rc4dnyPVdzfBv9Hrstx424zHkUa42XYTvgWWxcbErqMERXAs,2025-02-25T14:49:01.000Z,"{""log_type"":3,""amount_in"":29700000,""minimum_out"":85924316829671680,""direction"":1,""user_source"":30000000,""pool_coin"":5464031951637944000,""pool_pc"":281053869,""out_amount"":521038506202229600,""adjustedAmountIn"":0.0297,""adjustedAmountOut"":521038506202.2296,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""CpYDtAYryvrK3hC8TzwEko2cQKyw6gshoko17ioAfASU"",""timestamp"":""2025-02-25T14:49:01.000Z""}"
3sA5mXPikeZ5CerSVPpbFjUNvFrNgHSxDfjT5S1tus9ubtV6AMpSSU7otyGpirJC2hfoi4F9F6nVYTgcMxeh72CS,2025-02-25T14:22:08.000Z,"{""log_type"":3,""amount_in"":500000,""minimum_out"":56185642827113,""direction"":1,""user_source"":500000,""pool_coin"":4171550443407140000,""pool_pc"":367587781,""out_amount"":5652368691668620,""adjustedAmountIn"":0.0005,""adjustedAmountOut"":5652368691.66862,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""9pXQYHLAcBHKbtsnSxCdYN2Znn7UKM27v8h1wVTBWzmD"",""timestamp"":""2025-02-25T14:22:08.000Z""}"
5KDRJE7MDSwnhnyfx6pNhAX4akUJaVUxeLPfL4JcNcD3MBVbVnMsECSwiEyz2LrNEsyta72fmDAEgCf7gHQSHojN,2025-02-25T14:22:07.000Z,"{""log_type"":3,""amount_in"":990000,""minimum_out"":0,""direction"":1,""user_source"":990000,""pool_coin"":4182787582760216600,""pool_pc"":366597781,""out_amount"":11237139353076542,""adjustedAmountIn"":0.00099,""adjustedAmountOut"":11237139353.076542,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""9PuEF2ZPZipEqWSiA9mxFCFVtfo3Vm5x7KjdFL3GKHBQ"",""timestamp"":""2025-02-25T14:22:07.000Z""}"
4sF6ykKdrR3D9Bs9WVeeD2So2RqaJB5fHb7dhWbnb7KfzfKZ5LRGLeMyxE9gzfdapDWJXFBBaVZQmxe5FT26MurD,2025-02-25T13:56:43.000Z,"{""log_type"":3,""amount_in"":991500,""minimum_out"":1,""direction"":1,""user_source"":991500,""pool_coin"":4080674075149299000,""pool_pc"":375743596,""out_amount"":10712829663161964,""adjustedAmountIn"":0.0009915,""adjustedAmountOut"":10712829663.161964,""inToken"":""So11111111111111111111111111111111111111112"",""outToken"":""9kkWuiwg8iZxwJP1R6fCkwdVeXaiKdPXMmV9kP7GuHHP"",""inTokenDecimals"":9,""outTokenDecimals"":6,""signerAccount"":""C7usY8Cv94aFKr7BW982gw5pmSCM5K62uhKeyaJGFakm"",""timestamp"":""2025-02-25T13:56:43.000Z""}"
